location_id,duracion_media
148,14.13
243,25.81
31,31.29
137,12.74
85,39.39
65,23.19
255,21.34
53,36.48
133,37.44
78,43.66
155,38.89
108,53.89
211,14.14
34,18.27
193,19.08
126,44.84
101,52.99
115,27.73
81,50.58
28,33.12
210,49.85
183,53.08
76,45.89
26,43.46
27,0.33
159,38.0
192,36.9
253,12.25
236,11.37
12,20.62
223,21.5
91,41.18
222,46.03
209,17.49
22,41.66
128,24.72
230,15.1
122,51.64
232,17.68
233,13.18
93,17.99
225,41.0
157,21.79
190,27.78
246,13.9
224,13.19
47,47.91
140,13.15
177,40.79
132,38.79
152,16.24
185,47.41
146,15.52
259,54.64
1,8.3
52,20.64
212,41.7
182,47.55
13,16.47
218,68.25
16,44.91
86,72.66
6,10.39
168,34.34
205,55.03
142,12.14
3,54.16
178,43.22
164,13.16
40,17.55
20,53.56
169,44.11
139,55.88
94,50.98
250,44.7
57,29.44
54,27.96
120,16.81
235,43.12
96,15.08
48,12.4
163,13.93
191,51.72
5,30.47
258,46.32
19,46.91
92,42.64
257,34.34
64,28.6
117,66.97
227,43.89
41,14.53
154,12.56
43,13.92
15,30.99
262,11.35
112,20.19
165,41.05
189,29.48
179,23.47
207,18.7
37,37.3
127,39.98
61,38.97
88,18.39
197,34.28
263,10.62
107,11.88
202,32.36
231,15.08
17,35.67
9,31.72
72,40.7
175,42.04
35,41.9
196,28.49
217,26.42
229,12.25
114,12.91
173,37.15
220,36.3
4,14.03
55,52.7
59,59.51
100,13.68
8,19.48
241,49.86
161,14.06
39,43.81
49,36.42
176,23.88
162,13.4
7,18.9
244,21.84
238,11.66
130,35.15
136,47.38
247,36.46
87,18.17
171,40.98
51,56.93
194,18.68
166,13.96
129,15.96
69,45.95
97,25.58
239,11.77
234,12.64
63,44.21
10,37.76
77,44.12
102,35.99
50,12.08
45,17.77
216,19.46
261,18.17
38,57.83
249,12.52
181,28.17
82,26.71
167,43.72
80,24.87
240,55.91
25,28.12
73,45.04
237,11.06
113,12.41
24,13.14
160,26.78
70,27.81
125,13.82
62,36.6
121,43.01
143,11.41
219,42.05
95,31.29
226,21.54
29,51.27
21,41.88
214,21.22
256,19.72
195,37.77
98,41.66
90,11.93
60,45.44
32,49.09
75,13.85
203,53.08
221,0.45
141,10.65
151,12.2
145,19.52
200,43.72
56,37.52
254,51.47
109,8.17
228,41.91
213,47.98
170,13.05
188,37.83
58,28.59
33,24.41
11,39.16
83,19.66
150,41.23
68,14.8
106,32.92
71,38.78
260,23.3
116,19.21
147,48.37
198,31.91
14,43.92
123,43.4
158,14.46
242,45.75
199,35.17
135,39.9
248,49.5
42,22.85
119,37.48
79,12.36
201,60.02
2,31.55
131,42.61
149,47.0
124,34.36
99,8.18
30,20.12
184,37.86
66,22.16
186,14.82
67,33.76
46,49.25
174,52.81
215,40.92
172,19.03
252,41.83
144,14.26
153,33.94
18,49.05
138,27.3
74,16.21
180,41.81
134,20.37
36,31.38
208,40.21
89,40.04
23,1.42
