location_id,propina_media
148,3.59
243,1.78
31,2.77
137,3.22
85,0.1
65,3.84
255,3.64
53,4.05
133,0.26
78,0.28
108,0.0
155,0.37
211,3.58
34,3.91
193,3.34
126,0.64
101,0.68
115,2.98
81,0.36
28,7.8
210,0.19
183,0.0
76,0.17
26,0.0
27,13.2
192,0.16
159,0.35
253,3.0
236,3.13
12,5.08
223,7.93
91,0.08
222,0.06
209,4.28
22,0.22
128,5.59
230,4.23
122,0.0
232,3.53
233,3.7
93,13.07
225,0.15
157,7.82
190,2.37
246,3.68
224,3.41
47,0.04
140,3.37
177,0.28
132,12.39
152,2.46
185,0.21
146,4.18
259,0.41
1,11.13
52,3.98
212,0.24
182,0.16
13,4.91
218,0.39
86,0.06
16,0.84
6,18.21
168,0.79
205,0.13
142,3.41
3,0.41
178,0.08
164,3.6
40,3.19
20,0.4
169,0.08
139,0.0
250,0.37
94,0.0
54,2.61
120,6.72
235,0.26
96,5.2
48,3.51
163,3.79
191,0.17
5,0.0
258,0.99
19,0.44
92,0.49
257,1.75
64,2.7
117,0.04
227,0.11
41,2.59
154,4.99
43,3.56
15,1.21
262,3.23
112,3.08
165,0.01
189,1.99
179,2.66
207,10.42
37,0.79
127,0.57
61,0.17
88,4.76
197,3.91
263,3.06
107,3.3
202,2.49
231,3.93
17,0.6
9,2.97
72,0.04
175,0.66
35,0.0
196,4.55
217,1.9
229,3.33
114,3.43
220,0.79
173,0.76
4,3.4
55,0.06
59,0.0
100,3.6
241,0.05
8,16.1
161,3.77
39,0.16
49,0.69
176,16.94
162,3.67
7,3.61
238,3.17
244,2.92
130,4.4
136,0.06
247,0.38
87,4.72
171,0.46
51,0.02
194,11.01
166,3.57
129,8.16
69,0.13
97,2.18
239,3.31
234,3.37
63,0.1
10,9.71
77,0.0
102,0.93
50,3.28
45,4.02
216,9.48
261,4.75
38,0.54
249,3.42
181,1.83
82,5.64
167,0.06
80,3.66
240,3.1
25,2.75
73,0.0
113,3.38
237,3.09
24,3.47
160,4.21
70,9.93
125,3.67
62,0.31
121,0.69
143,3.13
219,8.91
95,1.67
226,7.04
29,0.12
21,0.76
256,4.73
195,7.39
98,0.59
90,3.32
60,0.05
32,0.0
75,3.01
203,0.67
141,3.01
151,3.25
145,8.13
200,0.44
254,0.09
56,3.49
228,0.82
213,0.45
170,3.54
188,0.21
58,3.54
33,3.55
11,0.0
83,6.72
150,0.79
68,3.82
106,1.27
71,0.1
260,7.31
116,2.67
147,0.07
198,1.17
14,0.93
123,0.09
158,3.79
242,0.26
199,14.08
135,0.97
248,0.05
42,0.99
119,0.31
79,3.37
201,0.93
2,13.31
131,0.44
149,0.01
124,3.48
30,0.0
184,0.0
66,4.62
186,3.71
67,0.76
46,1.23
174,0.02
215,5.4
252,1.1
144,3.54
153,0.2
18,0.0
138,10.19
74,2.91
180,2.84
134,7.15
36,1.78
208,2.29
89,0.07
