location_id,viajes
148,25499
243,338
31,8
137,29987
85,261
65,1137
255,556
53,75
133,166
78,172
155,293
108,151
211,21349
34,33
193,300
126,79
101,39
115,3
81,110
28,242
210,269
183,58
76,1235
26,274
27,1
159,261
192,42
253,2
236,137372
12,752
223,466
91,614
222,377
209,3809
22,176
128,13
230,107000
122,55
232,2350
233,28748
93,429
225,619
157,292
190,23
246,50103
224,2628
47,176
140,63125
177,445
132,128043
152,1203
185,83
146,889
259,119
1,61
52,341
212,96
182,222
13,15367
218,266
16,39
86,231
6,51
168,323
205,263
142,97242
3,81
178,52
164,61071
40,218
20,96
169,189
139,108
94,80
250,105
57,2
54,53
120,10
235,224
96,13
48,69797
163,84374
191,141
5,1
258,112
19,57
92,151
257,75
64,35
117,228
227,125
41,5549
154,31
43,43877
15,26
262,38427
112,266
165,324
189,258
179,347
207,63
37,406
127,160
61,1217
88,6584
197,579
263,55898
107,55072
202,94
231,34347
17,488
9,43
72,586
175,49
35,731
196,177
217,122
229,49392
114,40985
173,61
220,126
4,3089
55,448
59,3
100,43144
8,12
241,201
161,146192
39,825
49,471
176,1
162,104651
7,1077
244,1400
238,56972
130,552
136,154
247,229
87,11470
171,65
51,337
194,60
166,11236
129,693
69,362
97,983
239,81584
234,77763
63,176
10,717
77,303
102,61
50,12720
45,3895
216,917
261,12491
38,97
249,59356
181,782
82,355
167,179
80,408
240,8
25,824
73,18
237,147549
113,39348
24,6333
160,81
70,8960
125,12863
62,415
121,153
143,29716
219,394
95,336
226,1632
29,139
21,154
214,7
256,483
195,381
98,59
90,42567
60,97
32,110
75,16457
203,110
221,1
141,69774
151,21188
145,1034
200,73
56,215
254,276
109,1
228,226
213,264
170,79219
188,837
58,5
33,849
11,78
83,134
150,58
68,74886
106,107
71,547
260,499
116,1480
147,78
198,110
14,426
123,224
158,23146
242,171
199,1
135,115
248,108
42,2364
119,220
79,59453
201,67
2,4
131,132
149,164
124,98
99,1
30,1
184,4
66,664
186,107593
67,94
46,10
174,137
215,419
172,1
252,39
144,26520
153,31
18,157
138,84067
74,4744
180,48
134,306
36,183
208,84
89,774
23,1
